Bet ID	Unnamed: 1	Bet	Unnamed: 3	Pot	Bluff	Agro	Payout (exc)	Outcome
1		0		20	0.0	0.0	0.0	0
2		20		40	0.0	0.0	0.5	0
18		0		140	0.0	0.0	0.0	0
4		0		60	0.0	0.0	0.0	0
5		0		20	0.0	0.0	0.0	0
6		0		130	0.0	0.0	0.0	0
7		0		80	0.0	0.0	0.0	0
8		20		20	0.0	0.2	1.0	1
9		20		20	0.5	0.2	1.0	0
10		60		80	0.0	0.4	0.8	1
11		60		20	0.1	0.7	3.0	1
12		50		300	0.1	0.2	0.2	0
13		100		200	0.1	0.4	0.5	1
14		20		20	0.4	0.2	1.0	1
15		20		60	0.0	0.1	0.3	1
16		0		40	0.0	0.0	0.0	1
17		20		20	0.0	0.2	1.0	0
3		30		20	0.0	0.3	1.5	1
26		15		50	0.0	0.0	0.3	0
27		25		70	0.0	0.2	0.4	1
28		10		90	0.1	0.0	0.1	0
29		25		100	0.0	0.2	0.3	1
30		0		120	0.0	0.0	0.0	0
31		50		30	0.9	0.9	1.7	1
32		15		80	0.2	0.1	0.2	0
33		50		95	0.2	0.3	0.5	0
34		80		150	0.2	0.5	0.5	1
35		0		230	0.0	0.0	0.0	0
36		80		240	1.0	0.7	0.3	0
37		100		320	0.2	1.0	0.3	1
38		0		420	0.0	0.0	0.0	0
39		0		420	0.0	0.0	0.0	0
40		0		20	0.0	0.0	0.0	0
41		40		20	0.1	0.3	2.0	1
45		0		20	0.0	0.0	0.0	1
46		15		20	0.1	0.3	0.8	0
47		10		35	0.2	0.2	0.3	1
48		10		45	0.0	0.0	0.2	0
49		50		55	0.0	0.4	0.9	1
50		0		105	0.0	0.0	0.0	0
42		40		40	0.6	0.1	1.0	0
43		0		80	0.0	0.0	0.0	0
44		80		80	0.1	0.6	1.0	1
51		30		20	0.2	0.2	1.5	1
52		30		50	0.1	0.1	0.6	0
53		60		80	0.0	0.6	0.8	1
54		20		20	0.1	0.2	1.0	1
55		15		40	0.0	0.0	0.4	0
56		10		20	0.1	0.1	0.5	0
57		10		30	0.1	0.1	0.3	1
58		10		40	0.0	0.0	0.3	0
59		30		50	0.1	0.4	0.6	1
60		5		20	0.3	0.2	0.3	0
61		15		30	0.1	0.1	0.5	1
62		0		30	0.0	0.0	0.0	0
63		60		90	0.0	0.4	0.7	1
64		20		20	0.0	0.1	1.0	1
65		40		40	0.1	0.1	1.0	0
66		40		60	0.1	0.1	0.7	1
67		20		100	0.2	0.3	0.2	1
68		20		120	0.3	0.1	0.2	0
69		15		140	0.0	0.0	0.1	1
70		10		150	0.0	0.0	0.1	0
71		20		20	0.0	0.2	1.0	1
72		10		40	0.1	0.1	0.3	0
73		20		20	0.4	0.3	1.0	1
74		20		40	0.2	0.2	0.5	0
75		30		60	0.5	0.3	0.5	1
76		15		90	0.0	0.0	0.2	0
77		80		200	0.0	0.4	0.4	1
78		220		360	0.0	0.8	0.6	1
